epoch,accuracy,loss,val_accuracy,val_loss
0,0.32466864585876465,2.1977498531341553,0.4514435827732086,1.817018747329712
1,0.5326839089393616,1.507443904876709,0.5068241357803345,1.6223477125167847
2,0.6033548712730408,1.2651209831237793,0.5362204909324646,1.5459450483322144
3,0.6507084369659424,1.1025972366333008,0.5538057684898376,1.5405534505844116
4,0.6712589263916016,1.033860683441162,0.5593175888061523,1.5978140830993652
5,0.7079778909683228,0.9121555089950562,0.5661417245864868,1.4865964651107788
6,0.727033793926239,0.8428295850753784,0.5845144391059875,1.5338844060897827
7,0.7525362968444824,0.7699130773544312,0.5986876487731934,1.4710530042648315
8,0.7693105936050415,0.7128339409828186,0.5979002714157104,1.5650979280471802
9,0.782049834728241,0.6802840232849121,0.5976377725601196,1.5844248533248901
10,0.7928867936134338,0.6303303837776184,0.6055117845535278,1.467025876045227
11,0.7980747222900391,0.6123014688491821,0.6118110418319702,1.479804515838623
12,0.8160991668701172,0.561489462852478,0.6000000238418579,1.5980522632598877
13,0.8283951878547668,0.5222172737121582,0.6005249619483948,1.6379474401474
14,0.8314502835273743,0.5128648281097412,0.6013123393058777,1.6003525257110596
15,0.8430073261260986,0.4637829661369324,0.6031495928764343,1.6766493320465088
16,0.8441318869590759,0.47106969356536865,0.5950131416320801,1.6621054410934448
